calltry,date,time,duration,lastprompt,UID,village,Treatment,month,date,year
1,8/23/2011,8/23/11 15:30,N/A,N/A,2028019,NAVA SUDAMDA,1,8,23,11
1,8/24/2011,8/24/11 11:00,N/A,N/A,1001002,AKALA,2,8,24,11
1,8/24/2011,8/24/11 11:00,N/A,N/A,1001008,AKALA,2,8,24,11
1,8/24/2011,8/24/11 11:00,N/A,N/A,1001012,AKALA,2,8,24,11
1,8/24/2011,8/24/11 11:00,N/A,N/A,1001010,AKALA,2,8,24,11
1,8/24/2011,8/24/11 11:00,N/A,N/A,1001011,AKALA,2,8,24,11
1,8/24/2011,8/24/11 11:00,N/A,N/A,1001013,AKALA,2,8,24,11
1,8/24/2011,8/24/11 11:00,N/A,N/A,1001003,AKALA,1,8,24,11
1,8/24/2011,8/24/11 11:00,N/A,N/A,1001004,AKALA,2,8,24,11
1,8/24/2011,8/24/11 11:00,N/A,N/A,1001006,AKALA,2,8,24,11
1,8/24/2011,8/24/11 11:10,215,thankyou.wav,1001020,AKALA,1,8,24,11
1,8/24/2011,8/24/11 11:10,N/A,N/A,1001027,AKALA,1,8,24,11
1,8/24/2011,8/24/11 11:10,N/A,N/A,1001032,AKALA,1,8,24,11
1,8/24/2011,8/24/11 11:10,117,08-24-2011_105411.mp3,1001025,AKALA,1,8,24,11
1,8/24/2011,8/24/11 11:10,N/A,N/A,1001030,AKALA,1,8,24,11
1,8/24/2011,8/24/11 11:10,215,thankyou.wav,1001014,AKALA,2,8,24,11
1,8/24/2011,8/24/11 11:10,215,thankyou.wav,1001014,AKALA,2,8,24,11
1,8/24/2011,8/24/11 11:10,214,thankyou.wav,1001019,AKALA,2,8,24,11
1,8/24/2011,8/24/11 11:10,123,08-24-2011_105411.mp3,1001015,AKALA,1,8,24,11
1,8/24/2011,8/24/11 11:10,N/A,N/A,1001024,AKALA,1,8,24,11
1,8/24/2011,8/24/11 11:11,215,thankyou.wav,1001029,AKALA,1,8,24,11
1,8/24/2011,8/24/11 11:20,N/A,N/A,1002007,BAMANBOR,1,8,24,11
1,8/24/2011,8/24/11 11:20,214,thankyou.wav,1001040,AKALA,2,8,24,11
1,8/24/2011,8/24/11 11:20,N/A,N/A,1002002,BAMANBOR,1,8,24,11
1,8/24/2011,8/24/11 11:20,214,thankyou.wav,1002001,BAMANBOR,1,8,24,11
1,8/24/2011,8/24/11 11:20,N/A,N/A,1002003,BAMANBOR,2,8,24,11
1,8/24/2011,8/24/11 11:20,N/A,N/A,1002009,BAMANBOR,1,8,24,11
1,8/24/2011,8/24/11 11:20,2,welcome.wav,1002006,BAMANBOR,1,8,24,11
1,8/24/2011,8/24/11 11:20,215,thankyou.wav,1002004,BAMANBOR,1,8,24,11
1,8/24/2011,8/24/11 11:20,22,08-24-2011_105411.mp3,1002005,BAMANBOR,2,8,24,11
1,8/24/2011,8/24/11 11:20,214,thankyou.wav,1001033,AKALA,1,8,24,11
1,8/24/2011,8/24/11 11:30,215,thankyou.wav,1002022,BAMANBOR,2,8,24,11
1,8/24/2011,8/24/11 11:30,6,"1314165626	8140537121	7930142000	1314165651	Prompt",1002015,BAMANBOR,1,8,24,11
1,8/24/2011,8/24/11 11:30,72,08-24-2011_105411.mp3,1002019,BAMANBOR,2,8,24,11
1,8/24/2011,8/24/11 11:30,5,welcome.wav,1002025,BAMANBOR,2,8,24,11
1,8/24/2011,8/24/11 11:30,212,thankyou.wav,1002027,BAMANBOR,2,8,24,11
1,8/24/2011,8/24/11 11:30,N/A,N/A,1002016,BAMANBOR,2,8,24,11
1,8/24/2011,8/24/11 11:30,N/A,N/A,1002029,BAMANBOR,1,8,24,11
1,8/24/2011,8/24/11 11:30,5,welcome.wav,1002020,BAMANBOR,1,8,24,11
1,8/24/2011,8/24/11 11:30,N/A,N/A,1002011,BAMANBOR,1,8,24,11
1,8/24/2011,8/24/11 11:30,12,announcement.wav,1002026,BAMANBOR,2,8,24,11
1,8/24/2011,8/24/11 11:40,214,thankyou.wav,1004007,BHETSUDA,1,8,24,11
1,8/24/2011,8/24/11 11:40,N/A,N/A,1004013,BHETSUDA,1,8,24,11
1,8/24/2011,8/24/11 11:40,7,"1314166218	9408113493	7930142000	1314166258	Prompt",1004001,BHETSUDA,2,8,24,11
1,8/24/2011,8/24/11 11:40,94,thankyou.wav,1002032,BAMANBOR,2,8,24,11
1,8/24/2011,8/24/11 11:40,N/A,N/A,1004014,BHETSUDA,2,8,24,11
1,8/24/2011,8/24/11 11:40,215,thankyou.wav,1004002,BHETSUDA,1,8,24,11
1,8/24/2011,8/24/11 11:40,214,thankyou.wav,1004010,BHETSUDA,2,8,24,11
1,8/24/2011,8/24/11 11:40,215,thankyou.wav,1002036,BAMANBOR,2,8,24,11
1,8/24/2011,8/24/11 11:40,215,thankyou.wav,1004006,BHETSUDA,2,8,24,11
1,8/24/2011,8/24/11 11:40,215,thankyou.wav,1004015,BHETSUDA,1,8,24,11
1,8/24/2011,8/24/11 11:50,215,thankyou.wav,1004020,BHETSUDA,1,8,24,11
1,8/24/2011,8/24/11 11:50,214,thankyou.wav,1004022,BHETSUDA,2,8,24,11
1,8/24/2011,8/24/11 11:50,221,thankyou.wav,1004016,BHETSUDA,2,8,24,11
1,8/24/2011,8/24/11 11:50,N/A,N/A,1004024,BHETSUDA,1,8,24,11
1,8/24/2011,8/24/11 11:50,206,thankyou.wav,1004023,BHETSUDA,1,8,24,11
1,8/24/2011,8/24/11 11:50,206,thankyou.wav,1004018,BHETSUDA,1,8,24,11
1,8/24/2011,8/24/11 11:50,214,thankyou.wav,1004027,BHETSUDA,1,8,24,11
1,8/24/2011,8/24/11 11:50,215,thankyou.wav,1004030,BHETSUDA,2,8,24,11
1,8/24/2011,8/24/11 11:50,215,thankyou.wav,1004028,BHETSUDA,2,8,24,11
1,8/24/2011,8/24/11 11:51,215,thankyou.wav,1004029,BHETSUDA,1,8,24,11
1,8/24/2011,8/24/11 12:00,215,thankyou.wav,1005003,BHIMORA,1,8,24,11
1,8/24/2011,8/24/11 12:00,214,thankyou.wav,1005012,BHIMORA,1,8,24,11
1,8/24/2011,8/24/11 12:00,215,thankyou.wav,1005002,BHIMORA,1,8,24,11
1,8/24/2011,8/24/11 12:00,215,thankyou.wav,1004031,BHETSUDA,2,8,24,11
1,8/24/2011,8/24/11 12:00,207,thankyou.wav,1005007,BHIMORA,1,8,24,11
1,8/24/2011,8/24/11 12:00,N/A,N/A,1005004,BHIMORA,1,8,24,11
1,8/24/2011,8/24/11 12:00,215,thankyou.wav,1005014,BHIMORA,1,8,24,11
1,8/24/2011,8/24/11 12:00,7,"1314167426	9898570183	7930142000	1314167444	Prompt",1004032,BHETSUDA,2,8,24,11
1,8/24/2011,8/24/11 12:00,N/A,N/A,1005017,BHIMORA,1,8,24,11
1,8/24/2011,8/24/11 12:01,143,08-24-2011_105411.mp3,1005015,BHIMORA,1,8,24,11
1,8/24/2011,8/24/11 12:10,215,thankyou.wav,1005034,BHIMORA,2,8,24,11
1,8/24/2011,8/24/11 12:10,214,thankyou.wav,1005020,BHIMORA,1,8,24,11
1,8/24/2011,8/24/11 12:10,N/A,N/A,1005024,BHIMORA,1,8,24,11
1,8/24/2011,8/24/11 12:10,214,thankyou.wav,1005040,BHIMORA,2,8,24,11
